run,corner,temperature,vdd,vcm_diff,gain_max,ugf,pm
run_043,fs,50,1.9,-0.2,66.048,1.568e+07,65.189
run_044,sf,50,1.9,-0.2,65.417,1.453e+07,64.536
run_045,ss,20,1.7,0,64.555,1.549e+07,63.738
run_046,tt,20,1.7,0,65.103,1.723e+07,64.532
run_047,ff,20,1.7,0,65.029,1.873e+07,65.109
run_048,fs,20,1.7,0,65.812,1.780e+07,64.510
run_049,sf,20,1.7,0,62.506,1.583e+07,64.104
run_050,ss,27,1.7,0,64.726,1.509e+07,63.710
run_051,tt,27,1.7,0,65.257,1.677e+07,64.597
run_052,ff,27,1.7,0,65.152,1.821e+07,65.248
run_053,fs,27,1.7,0,65.948,1.731e+07,64.625
run_054,sf,27,1.7,0,62.728,1.544e+07,64.110
run_055,ss,50,1.7,0,65.254,1.388e+07,63.380
run_056,tt,50,1.7,0,65.743,1.537e+07,64.552
run_057,ff,50,1.7,0,65.532,1.664e+07,65.434
run_058,fs,50,1.7,0,66.361,1.581e+07,64.735
run_059,sf,50,1.7,0,63.405,1.425e+07,63.887
run_060,ss,20,1.8,0,65.195,1.593e+07,63.994
run_061,tt,20,1.8,0,65.522,1.767e+07,64.684
run_062,ff,20,1.8,0,65.346,1.918e+07,65.191
run_063,fs,20,1.8,0,66.004,1.820e+07,64.605
run_064,sf,20,1.8,0,63.934,1.652e+07,64.573
run_065,ss,27,1.8,0,65.332,1.550e+07,63.973
run_066,tt,27,1.8,0,65.651,1.719e+07,64.761
run_067,ff,27,1.8,0,65.451,1.864e+07,65.346
run_068,fs,27,1.8,0,66.124,1.769e+07,64.737
run_069,sf,27,1.8,0,64.075,1.608e+07,64.570
run_070,ss,50,1.8,0,65.755,1.422e+07,63.663
run_071,tt,50,1.8,0,66.059,1.572e+07,64.754
run_072,ff,50,1.8,0,65.772,1.700e+07,65.580
run_073,fs,50,1.8,0,66.494,1.614e+07,64.896
run_074,sf,50,1.8,0,64.512,1.476e+07,64.323
run_075,ss,20,1.9,0,65.562,1.629e+07,64.163
run_076,tt,20,1.9,0,65.791,1.806e+07,64.784
run_077,ff,20,1.9,0,65.573,1.960e+07,65.239
run_078,fs,20,1.9,0,66.141,1.857e+07,64.680
run_079,sf,20,1.9,0,64.626,1.699e+07,64.800
run_080,ss,27,1.9,0,65.680,1.585e+07,64.154
run_081,tt,27,1.9,0,65.904,1.756e+07,64.876
run_082,ff,27,1.9,0,65.665,1.904e+07,65.410
run_083,fs,27,1.9,0,66.249,1.805e+07,64.827
run_084,sf,27,1.9,0,64.736,1.653e+07,64.804
run_085,ss,50,1.9,0,66.044,1.452e+07,63.880
run_086,tt,50,1.9,0,66.259,1.603e+07,64.914
run_087,ff,50,1.9,0,65.943,1.735e+07,65.696
run_088,fs,50,1.9,0,66.580,1.645e+07,65.037
run_089,sf,50,1.9,0,65.077,1.512e+07,64.578
run_090,ss,20,1.7,0.2,46.552,7.862e+06,72.508
run_091,tt,20,1.7,0.2,56.535,1.396e+07,65.242
run_092,ff,20,1.7,0.2,60.981,1.750e+07,63.906
run_093,fs,20,1.7,0.2,65.731,1.797e+07,63.785
run_094,sf,20,1.7,0.2,27.878,1.801e+06,87.567
run_095,ss,27,1.7,0.2,48.193,8.419e+06,70.918
run_096,tt,27,1.7,0.2,57.673,1.404e+07,64.722
run_097,ff,27,1.7,0.2,61.634,1.723e+07,64.042
run_098,fs,27,1.7,0.2,66.057,1.750e+07,63.967
run_099,sf,27,1.7,0.2,29.281,2.022e+06,86.485
run_100,ss,50,1.7,0.2,53.076,9.827e+06,66.373
run_101,tt,50,1.7,0.2,60.818,1.389e+07,63.713
run_102,ff,50,1.7,0.2,63.415,1.620e+07,64.406
run_103,fs,50,1.7,0.2,66.827,1.605e+07,64.268
run_104,sf,50,1.7,0.2,33.964,2.929e+06,82.530
run_105,ss,20,1.8,0.2,59.395,1.424e+07,63.419
run_106,tt,20,1.8,0.2,63.133,1.722e+07,63.679
run_107,ff,20,1.8,0.2,64.199,1.929e+07,64.398
run_108,fs,20,1.8,0.2,66.547,1.869e+07,64.165
run_109,sf,20,1.8,0.2,43.050,7.132e+06,74.948
run_110,ss,27,1.8,0.2,60.150,1.408e+07,63.253
run_111,tt,27,1.8,0.2,63.604,1.684e+07,63.822
run_112,ff,27,1.8,0.2,64.510,1.879e+07,64.626
run_113,fs,27,1.8,0.2,66.790,1.817e+07,64.337
run_114,sf,27,1.8,0.2,44.540,7.677e+06,73.480
run_115,ss,50,1.8,0.2,62.243,1.343e+07,62.801
run_116,tt,50,1.8,0.2,64.965,1.562e+07,64.043
run_117,ff,50,1.8,0.2,65.412,1.724e+07,65.072
run_118,fs,50,1.8,0.2,67.418,1.657e+07,64.613
run_119,sf,50,1.8,0.2,49.240,9.240e+06,68.911
run_120,ss,20,1.9,0.2,63.885,1.618e+07,63.473
run_121,tt,20,1.9,0.2,65.161,1.835e+07,64.259
run_122,ff,20,1.9,0.2,65.285,2.012e+07,64.784
run_123,fs,20,1.9,0.2,66.811,1.920e+07,64.333
run_124,sf,20,1.9,0.2,56.958,1.460e+07,64.471
run_125,ss,27,1.9,0.2,64.229,1.578e+07,63.525
run_126,tt,27,1.9,0.2,65.436,1.786e+07,64.404
run_127,ff,27,1.9,0.2,65.492,1.956e+07,64.999
run_128,fs,27,1.9,0.2,67.017,1.865e+07,64.513
run_129,sf,27,1.9,0.2,57.693,1.448e+07,64.244
run_130,ss,50,1.9,0.2,65.227,1.456e+07,63.432
run_131,tt,50,1.9,0.2,66.272,1.634e+07,64.591
run_132,ff,50,1.9,0.2,66.115,1.783e+07,65.415
run_133,fs,50,1.9,0.2,67.583,1.697e+07,64.816
run_134,sf,50,1.9,0.2,59.830,1.392e+07,63.676
