run,corner,temperature,vdd,vcm_diff,gain_max,ugf,pm
run_064,sf,20,1.8,0,64.373,1.783e+07,65.008
run_065,ss,27,1.8,0,65.834,1.669e+07,64.323
run_066,tt,27,1.8,0,65.617,1.745e+07,64.791
run_067,ff,27,1.8,0,65.385,1.822e+07,65.251
run_068,fs,27,1.8,0,66.245,1.723e+07,64.429
run_069,sf,27,1.8,0,64.524,1.749e+07,65.093
run_070,ss,50,1.8,0,66.293,1.567e+07,64.431
run_071,tt,50,1.8,0,66.029,1.636e+07,64.963
run_072,ff,50,1.8,0,65.752,1.707e+07,65.485
run_073,fs,50,1.8,0,66.713,1.617e+07,64.598
run_074,sf,50,1.8,0,64.984,1.641e+07,65.295
run_075,ss,20,1.9,0,65.966,1.739e+07,64.395
run_076,tt,20,1.9,0,65.757,1.818e+07,64.813
run_077,ff,20,1.9,0,65.533,1.900e+07,65.222
run_078,fs,20,1.9,0,66.227,1.793e+07,64.450
run_079,sf,20,1.9,0,65.051,1.834e+07,65.196
run_080,ss,27,1.9,0,66.092,1.705e+07,64.454
run_081,tt,27,1.9,0,65.871,1.782e+07,64.893
run_082,ff,27,1.9,0,65.636,1.862e+07,65.323
run_083,fs,27,1.9,0,66.355,1.758e+07,64.529
run_084,sf,27,1.9,0,65.166,1.797e+07,65.278
run_085,ss,50,1.9,0,66.492,1.599e+07,64.584
run_086,tt,50,1.9,0,66.230,1.669e+07,65.089
run_087,ff,50,1.9,0,65.955,1.742e+07,65.582
run_088,fs,50,1.9,0,66.771,1.648e+07,64.724
run_089,sf,50,1.9,0,65.519,1.683e+07,65.478
run_090,ss,20,1.7,0.2,55.517,1.273e+07,65.864
run_091,tt,20,1.7,0.2,56.268,1.388e+07,65.497
run_092,ff,20,1.7,0.2,56.942,1.502e+07,65.258
run_093,fs,20,1.7,0.2,66.364,1.736e+07,63.549
run_094,sf,20,1.7,0.2,28.912,2.016e+06,87.390
run_095,ss,27,1.7,0.2,56.802,1.299e+07,65.165
run_096,tt,27,1.7,0.2,57.431,1.407e+07,64.967
run_097,ff,27,1.7,0.2,57.989,1.515e+07,64.888
run_098,fs,27,1.7,0.2,66.772,1.706e+07,63.656
run_099,sf,27,1.7,0.2,30.493,2.302e+06,86.280
run_100,ss,50,1.7,0.2,60.373,1.339e+07,63.795
run_101,tt,50,1.7,0.2,60.647,1.429e+07,64.041
run_102,ff,50,1.7,0.2,60.859,1.518e+07,64.358
run_103,fs,50,1.7,0.2,67.783,1.606e+07,63.932
run_104,sf,50,1.7,0.2,35.826,3.524e+06,82.246
run_105,ss,20,1.8,0.2,63.060,1.640e+07,63.278
run_106,tt,20,1.8,0.2,63.034,1.728e+07,63.689
run_107,ff,20,1.8,0.2,62.985,1.818e+07,64.103
run_108,fs,20,1.8,0.2,66.992,1.807e+07,63.943
run_109,sf,20,1.8,0.2,44.354,8.039e+06,75.232
run_110,ss,27,1.8,0.2,63.602,1.619e+07,63.374
run_111,tt,27,1.8,0.2,63.516,1.704e+07,63.818
run_112,ff,27,1.8,0.2,63.413,1.791e+07,64.261
run_113,fs,27,1.8,0.2,67.310,1.772e+07,64.036
run_114,sf,27,1.8,0.2,46.058,8.777e+06,73.726
run_115,ss,50,1.8,0.2,65.168,1.544e+07,63.648
run_116,tt,50,1.8,0.2,64.903,1.620e+07,64.181
run_117,ff,50,1.8,0.2,64.640,1.697e+07,64.704
run_118,fs,50,1.8,0.2,68.217,1.660e+07,64.269
run_119,sf,50,1.8,0.2,51.308,1.088e+07,69.210
run_120,ss,20,1.9,0.2,65.349,1.761e+07,63.859
run_121,tt,20,1.9,0.2,65.112,1.846e+07,64.263
run_122,ff,20,1.9,0.2,64.871,1.933e+07,64.658
run_123,fs,20,1.9,0.2,67.123,1.857e+07,64.132
run_124,sf,20,1.9,0.2,57.922,1.593e+07,64.676
run_125,ss,27,1.9,0.2,65.662,1.728e+07,63.959
run_126,tt,27,1.9,0.2,65.391,1.810e+07,64.384
run_127,ff,27,1.9,0.2,65.120,1.895e+07,64.800
run_128,fs,27,1.9,0.2,67.389,1.819e+07,64.226
run_129,sf,27,1.9,0.2,58.727,1.593e+07,64.532
run_130,ss,50,1.9,0.2,66.620,1.624e+07,64.199
run_131,tt,50,1.9,0.2,66.239,1.699e+07,64.693
run_132,ff,50,1.9,0.2,65.871,1.776e+07,65.174
run_133,fs,50,1.9,0.2,68.200,1.702e+07,64.463
run_134,sf,50,1.9,0.2,60.987,1.565e+07,64.434
